City,Sector,Polygon,Center-Lat,Center-Lng,Area,Area-Type,Area-Unit,Price
Gurgaon,,,,,,,,
 ,Palam Vihar,"[{'lng': 77.04605275, 'lat': 28.51671227}, {'lng': 77.04770856, 'lat': 28.52019364}, {'lng': 77.04801693, 'lat': 28.52052015}, {'lng': 77.04400746, 'lat': 28.52258834}, {'lng': 77.04290912, 'lat': 28.52342352}, {'lng': 77.04349673, 'lat': 28.52388344}, {'lng': 77.04337028, 'lat': 28.5248644}, {'lng': 77.04217147, 'lat': 28.52542734}, {'lng': 77.04201269, 'lat': 28.52577966}, {'lng': 77.04145608, 'lat': 28.52514542}, {'lng': 77.03789906, 'lat': 28.52087922}, {'lng': 77.0360312, 'lat': 28.5186764}, {'lng': 77.03349325, 'lat': 28.51566064}, {'lng': 77.03502487, 'lat': 28.51464153}, {'lng': 77.03786049, 'lat': 28.51273849}, {'lng': 77.03999942, 'lat': 28.51099389}, {'lng': 77.0404561, 'lat': 28.5106194}, {'lng': 77.04179381, 'lat': 28.51004505}, {'lng': 77.04142642, 'lat': 28.5107338}, {'lng': 77.04116703, 'lat': 28.51138146}, {'lng': 77.04119837, 'lat': 28.51160174}, {'lng': 77.04125781, 'lat': 28.5116933}, {'lng': 77.04161333, 'lat': 28.5118103}, {'lng': 77.04210899, 'lat': 28.51180537}, {'lng': 77.04222239, 'lat': 28.51170752}, {'lng': 77.04243471, 'lat': 28.51162031}, {'lng': 77.04278175, 'lat': 28.51142724}, {'lng': 77.04490742, 'lat': 28.51385676}, {'lng': 77.04605275, 'lat': 28.51671227}]",28.517649,77.0420541,30,Plot ,Sq. Yards,"34,000"
 ,Palam Vihar,"[{'lng': 77.04605275, 'lat': 28.51671227}, {'lng': 77.04770856, 'lat': 28.52019364}, {'lng': 77.04801693, 'lat': 28.52052015}, {'lng': 77.04400746, 'lat': 28.52258834}, {'lng': 77.04290912, 'lat': 28.52342352}, {'lng': 77.04349673, 'lat': 28.52388344}, {'lng': 77.04337028, 'lat': 28.5248644}, {'lng': 77.04217147, 'lat': 28.52542734}, {'lng': 77.04201269, 'lat': 28.52577966}, {'lng': 77.04145608, 'lat': 28.52514542}, {'lng': 77.03789906, 'lat': 28.52087922}, {'lng': 77.0360312, 'lat': 28.5186764}, {'lng': 77.03349325, 'lat': 28.51566064}, {'lng': 77.03502487, 'lat': 28.51464153}, {'lng': 77.03786049, 'lat': 28.51273849}, {'lng': 77.03999942, 'lat': 28.51099389}, {'lng': 77.0404561, 'lat': 28.5106194}, {'lng': 77.04179381, 'lat': 28.51004505}, {'lng': 77.04142642, 'lat': 28.5107338}, {'lng': 77.04116703, 'lat': 28.51138146}, {'lng': 77.04119837, 'lat': 28.51160174}, {'lng': 77.04125781, 'lat': 28.5116933}, {'lng': 77.04161333, 'lat': 28.5118103}, {'lng': 77.04210899, 'lat': 28.51180537}, {'lng': 77.04222239, 'lat': 28.51170752}, {'lng': 77.04243471, 'lat': 28.51162031}, {'lng': 77.04278175, 'lat': 28.51142724}, {'lng': 77.04490742, 'lat': 28.51385676}, {'lng': 77.04605275, 'lat': 28.51671227}]",28.517649,77.0420541,10,Plot ,Sq. Yards,"20,000"
 ,Palam Vihar,"[{'lng': 77.04605275, 'lat': 28.51671227}, {'lng': 77.04770856, 'lat': 28.52019364}, {'lng': 77.04801693, 'lat': 28.52052015}, {'lng': 77.04400746, 'lat': 28.52258834}, {'lng': 77.04290912, 'lat': 28.52342352}, {'lng': 77.04349673, 'lat': 28.52388344}, {'lng': 77.04337028, 'lat': 28.5248644}, {'lng': 77.04217147, 'lat': 28.52542734}, {'lng': 77.04201269, 'lat': 28.52577966}, {'lng': 77.04145608, 'lat': 28.52514542}, {'lng': 77.03789906, 'lat': 28.52087922}, {'lng': 77.0360312, 'lat': 28.5186764}, {'lng': 77.03349325, 'lat': 28.51566064}, {'lng': 77.03502487, 'lat': 28.51464153}, {'lng': 77.03786049, 'lat': 28.51273849}, {'lng': 77.03999942, 'lat': 28.51099389}, {'lng': 77.0404561, 'lat': 28.5106194}, {'lng': 77.04179381, 'lat': 28.51004505}, {'lng': 77.04142642, 'lat': 28.5107338}, {'lng': 77.04116703, 'lat': 28.51138146}, {'lng': 77.04119837, 'lat': 28.51160174}, {'lng': 77.04125781, 'lat': 28.5116933}, {'lng': 77.04161333, 'lat': 28.5118103}, {'lng': 77.04210899, 'lat': 28.51180537}, {'lng': 77.04222239, 'lat': 28.51170752}, {'lng': 77.04243471, 'lat': 28.51162031}, {'lng': 77.04278175, 'lat': 28.51142724}, {'lng': 77.04490742, 'lat': 28.51385676}, {'lng': 77.04605275, 'lat': 28.51671227}]",28.517649,77.0420541,200,Built-up ,Sq.Ft.,"45,000"
 ,Palam Vihar,"[{'lng': 77.03089695, 'lat': 28.51257391}, {'lng': 77.02464118, 'lat': 28.50514008}, {'lng': 77.02736005, 'lat': 28.50318055}, {'lng': 77.02901978, 'lat': 28.50217388}, {'lng': 77.02956536, 'lat': 28.5027253}, {'lng': 77.03076237, 'lat': 28.50314283}, {'lng': 77.03155922, 'lat': 28.50331029}, {'lng': 77.03367264, 'lat': 28.50356501}, {'lng': 77.03615787, 'lat': 28.50362712}, {'lng': 77.03708005, 'lat': 28.50465698}, {'lng': 77.04181962, 'lat': 28.5100491}, {'lng': 77.04039121, 'lat': 28.510598}, {'lng': 77.03349324, 'lat': 28.51565661}, {'lng': 77.03089695, 'lat': 28.51257391}]",28.509691,77.032006,200,Built-up ,Sq.Ft.,"45,000"
 ,Palam Vihar,"[{'lng': 77.03089695, 'lat': 28.51257391}, {'lng': 77.02464118, 'lat': 28.50514008}, {'lng': 77.02736005, 'lat': 28.50318055}, {'lng': 77.02901978, 'lat': 28.50217388}, {'lng': 77.02956536, 'lat': 28.5027253}, {'lng': 77.03076237, 'lat': 28.50314283}, {'lng': 77.03155922, 'lat': 28.50331029}, {'lng': 77.03367264, 'lat': 28.50356501}, {'lng': 77.03615787, 'lat': 28.50362712}, {'lng': 77.03708005, 'lat': 28.50465698}, {'lng': 77.04181962, 'lat': 28.5100491}, {'lng': 77.04039121, 'lat': 28.510598}, {'lng': 77.03349324, 'lat': 28.51565661}, {'lng': 77.03089695, 'lat': 28.51257391}]",28.509691,77.032006,30,Plot ,Sq. Yards,"34,000"
 ,Palam Vihar,"[{'lng': 77.03089695, 'lat': 28.51257391}, {'lng': 77.02464118, 'lat': 28.50514008}, {'lng': 77.02736005, 'lat': 28.50318055}, {'lng': 77.02901978, 'lat': 28.50217388}, {'lng': 77.02956536, 'lat': 28.5027253}, {'lng': 77.03076237, 'lat': 28.50314283}, {'lng': 77.03155922, 'lat': 28.50331029}, {'lng': 77.03367264, 'lat': 28.50356501}, {'lng': 77.03615787, 'lat': 28.50362712}, {'lng': 77.03708005, 'lat': 28.50465698}, {'lng': 77.04181962, 'lat': 28.5100491}, {'lng': 77.04039121, 'lat': 28.510598}, {'lng': 77.03349324, 'lat': 28.51565661}, {'lng': 77.03089695, 'lat': 28.51257391}]",28.509691,77.032006,10,Plot ,Sq. Yards,"20,000"
 ,Sector-110 A Gurgaon,"[{'lng': 77.03089695, 'lat': 28.51257391}, {'lng': 77.02464118, 'lat': 28.50514008}, {'lng': 77.02736005, 'lat': 28.50318055}, {'lng': 77.02901978, 'lat': 28.50217388}, {'lng': 77.02956536, 'lat': 28.5027253}, {'lng': 77.03076237, 'lat': 28.50314283}, {'lng': 77.03155922, 'lat': 28.50331029}, {'lng': 77.03367264, 'lat': 28.50356501}, {'lng': 77.03615787, 'lat': 28.50362712}, {'lng': 77.03708005, 'lat': 28.50465698}, {'lng': 77.04181962, 'lat': 28.5100491}, {'lng': 77.04039121, 'lat': 28.510598}, {'lng': 77.03349324, 'lat': 28.51565661}, {'lng': 77.03089695, 'lat': 28.51257391}]",28.509691,77.032006,150,Built-up ,Sq.Ft.,"22,000"
 ,Sector-110 A Gurgaon,"[{'lng': 77.03089695, 'lat': 28.51257391}, {'lng': 77.02464118, 'lat': 28.50514008}, {'lng': 77.02736005, 'lat': 28.50318055}, {'lng': 77.02901978, 'lat': 28.50217388}, {'lng': 77.02956536, 'lat': 28.5027253}, {'lng': 77.03076237, 'lat': 28.50314283}, {'lng': 77.03155922, 'lat': 28.50331029}, {'lng': 77.03367264, 'lat': 28.50356501}, {'lng': 77.03615787, 'lat': 28.50362712}, {'lng': 77.03708005, 'lat': 28.50465698}, {'lng': 77.04181962, 'lat': 28.5100491}, {'lng': 77.04039121, 'lat': 28.510598}, {'lng': 77.03349324, 'lat': 28.51565661}, {'lng': 77.03089695, 'lat': 28.51257391}]",28.509691,77.032006,181,Carpet ,Sq.Ft.,"22,500"
 ,Palam Vihar,"[{'lng': 77.03089695, 'lat': 28.51257391}, {'lng': 77.02464118, 'lat': 28.50514008}, {'lng': 77.02736005, 'lat': 28.50318055}, {'lng': 77.02901978, 'lat': 28.50217388}, {'lng': 77.02956536, 'lat': 28.5027253}, {'lng': 77.03076237, 'lat': 28.50314283}, {'lng': 77.03155922, 'lat': 28.50331029}, {'lng': 77.03367264, 'lat': 28.50356501}, {'lng': 77.03615787, 'lat': 28.50362712}, {'lng': 77.03708005, 'lat': 28.50465698}, {'lng': 77.04181962, 'lat': 28.5100491}, {'lng': 77.04039121, 'lat': 28.510598}, {'lng': 77.03349324, 'lat': 28.51565661}, {'lng': 77.03089695, 'lat': 28.51257391}]",28.509691,77.032006,350,Plot ,Sq.Ft.,"12,000"
